City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,naharlagun,27.1047,93.6952,19.99,73,0,1.81,93.6952,93.6952
122,taoudenni,22.6783,-3.9836,37.41,7,0,2.34,-3.9836,-3.9836
123,pacific grove,36.6177,-121.9166,20.79,44,0,2.24,-121.9166,-121.9166
124,petropavlovsk-kamchatsky,53.0452,158.6483,0.81,71,57,4.02,158.6483,158.6483
125,semenov,56.7875,44.493,0.75,98,100,1.22,44.493,44.493
126,kapan,39.2075,46.4058,13.93,68,100,0.47,46.4058,46.4058
127,yellowknife,62.456,-114.3525,-8.01,82,90,3.84,-114.3525,-114.3525
128,amboasary,-25.0333,46.3833,21.06,85,100,7.02,46.3833,46.3833
129,alofi,-19.0595,-169.9187,23.94,83,75,4.63,-169.9187,-169.9187
130,papao,-17.75,-149.55,26.82,81,24,10.65,-149.55,-149.55
131,greenland,43.0362,-70.8328,9.48,50,20,4.12,-70.8328,-70.8328
132,solleftea,63.1667,17.2667,-2.08,69,47,4.75,17.2667,17.2667
133,northwood,40.4728,-83.7324,6.42,48,75,6.69,-83.7324,-83.7324
134,arraial do cabo,-22.9661,-42.0278,30.92,58,0,3.6,-42.0278,-42.0278
135,iskateley,67.6803,53.1512,-10.55,97,100,2.68,53.1512,53.1512
136,belo sur tsiribihina,-19.7,44.55,25.25,74,42,2.51,44.55,44.55
137,ciudad lazaro cardenas,17.9583,-102.2,29.07,72,41,0.81,-102.2,-102.2
138,vilyuysk,63.7553,121.6247,-16.67,99,99,1.34,121.6247,121.6247
139,kirakira,-10.4544,161.9205,25.94,87,62,3.46,161.9205,161.9205
140,uturoa,-16.7333,-151.4333,26.38,77,15,9.34,-151.4333,-151.4333
141,klyuchi,52.2667,79.1667,2.07,99,100,2.17,79.1667,79.1667
142,kavieng,-2.5744,150.7967,27.09,81,85,2.41,150.7967,150.7967
143,kralendijk,12.15,-68.2667,28.99,84,75,3.6,-68.2667,-68.2667
144,debipur,24.2333,88.6333,24.24,64,12,2.18,88.6333,88.6333
145,coahuayana de hidalgo,18.7,-103.6583,30.32,66,11,1.21,-103.6583,-103.6583
146,chernyshevskiy,63.0128,112.4714,-27.42,100,66,0.68,112.4714,112.4714
147,batsari,12.7515,7.2447,31.4,16,75,2.71,7.2447,7.2447
148,dongkan,33.9997,119.8308,18.71,53,2,4.23,119.8308,119.8308
149,probishtip,42.0031,22.1786,13.61,50,84,2.39,22.1786,22.1786
150,tucacas,10.7906,-68.3258,29.13,70,100,2.15,-68.3258,-68.3258
151,okene,7.5981,6.2318,27.58,74,100,1.54,6.2318,6.2318
152,dunedin,-45.8742,170.5036,10.45,99,14,0.45,170.5036,170.5036
153,mingshui,36.7167,117.5,18.27,45,3,4.33,117.5,117.5
154,manokwari,-0.8667,134.0833,25.97,78,95,2.9,134.0833,134.0833
155,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,5.66,-89.6,-89.6
156,bubaque,11.2833,-15.8333,29.11,71,13,3.46,-15.8333,-15.8333
157,camarinas,43.1311,-9.1817,17.18,81,88,12.44,-9.1817,-9.1817
158,laojunmiao,39.8333,97.7333,9.59,23,2,2.12,97.7333,97.7333
159,quitilipi,-26.8691,-60.2168,27.21,57,66,4.18,-60.2168,-60.2168
160,malanje,-9.5402,16.341,23.34,72,98,2.45,16.341,16.341
161,bel ombre,-4.6167,55.4167,27.14,80,39,5.16,55.4167,55.4167
162,apodi,-5.6642,-37.7989,38.56,20,11,2.59,-37.7989,-37.7989
163,tralee,52.2704,-9.7026,12.14,94,40,6.69,-9.7026,-9.7026
164,anadyr,64.75,177.4833,-1.72,100,100,4.0,177.4833,177.4833
165,coquimbo,-29.9533,-71.3436,17.92,63,100,5.06,-71.3436,-71.3436
166,metlili chaamba,32.2667,3.6333,28.2,17,69,3.58,3.6333,3.6333
167,tocopilla,-22.092,-70.1979,21.55,63,20,3.18,-70.1979,-70.1979
168,achit,56.7985,57.8994,-5.52,100,84,0.48,57.8994,57.8994
169,tura,25.5198,90.2201,20.34,87,1,1.44,90.2201,90.2201
170,hamilton,39.1834,-84.5333,8.18,56,0,5.14,-84.5333,-84.5333
171,carnarvon,-24.8667,113.6333,20.93,76,0,6.49,113.6333,113.6333
172,afif,23.9065,42.9172,26.08,38,51,5.9,42.9172,42.9172
173,smithers,54.7804,-127.1743,0.6,73,100,0.45,-127.1743,-127.1743
174,ivdel',60.6911,60.4206,-4.43,65,100,4.02,60.4206,60.4206
175,pamanukan,-6.2842,107.8106,27.52,77,91,1.46,107.8106,107.8106
176,rawai,7.7797,98.3253,30.55,73,99,4.46,98.3253,98.3253
